#Mapping quality	mapping quality
0.0	130059.0
1.0	4109487.0
2.0	30898.0
3.0	42703.0
4.0	17609.0
5.0	9122.0
6.0	147660.0
7.0	80196.0
8.0	69211.0
9.0	19039.0
10.0	19618.0
11.0	62710.0
12.0	152406.0
13.0	10244.0
14.0	31686.0
15.0	85892.0
16.0	51335.0
17.0	119316.0
18.0	129165.0
19.0	19828.0
20.0	28684.0
21.0	187309.0
22.0	55738.0
23.0	274320.0
24.0	485007.0
25.0	86385.0
26.0	67599.0
27.0	61089.0
28.0	82828.0
29.0	71468.0
30.0	611112.0
31.0	525380.0
32.0	677692.0
33.0	385498.0
34.0	549108.0
35.0	433293.0
36.0	461100.0
37.0	405183.0
38.0	486243.0
39.0	352975.0
40.0	1727060.0
41.0	2762846.0
42.0	8.7621529E7
