#Duplication rate	Coverage
1.0	1.2538684E7
2.0	1588201.0
3.0	234379.0
4.0	52695.0
5.0	17619.0
6.0	8217.0
7.0	4761.0
8.0	3035.0
9.0	2048.0
10.0	1573.0
11.0	1242.0
12.0	1040.0
13.0	848.0
14.0	685.0
15.0	606.0
16.0	531.0
17.0	503.0
18.0	395.0
19.0	370.0
20.0	307.0
21.0	304.0
22.0	250.0
23.0	255.0
24.0	244.0
25.0	188.0
26.0	173.0
27.0	164.0
28.0	151.0
29.0	149.0
30.0	148.0
31.0	134.0
32.0	102.0
33.0	111.0
34.0	107.0
35.0	109.0
36.0	99.0
37.0	92.0
38.0	91.0
39.0	81.0
40.0	83.0
41.0	80.0
42.0	89.0
43.0	67.0
44.0	57.0
45.0	59.0
46.0	68.0
47.0	48.0
48.0	49.0
49.0	54.0
50.0	7957.0
