#Duplication rate	Coverage
1.0	1.0955581E7
2.0	1786127.0
3.0	350593.0
4.0	94466.0
5.0	33191.0
6.0	14679.0
7.0	7480.0
8.0	4277.0
9.0	2674.0
10.0	1754.0
11.0	1315.0
12.0	879.0
13.0	763.0
14.0	561.0
15.0	456.0
16.0	356.0
17.0	294.0
18.0	284.0
19.0	231.0
20.0	223.0
21.0	180.0
22.0	145.0
23.0	160.0
24.0	120.0
25.0	114.0
26.0	98.0
27.0	85.0
28.0	88.0
29.0	76.0
30.0	65.0
31.0	70.0
32.0	66.0
33.0	60.0
34.0	49.0
35.0	56.0
36.0	49.0
37.0	43.0
38.0	45.0
39.0	39.0
40.0	44.0
41.0	35.0
42.0	35.0
43.0	25.0
44.0	30.0
45.0	36.0
46.0	43.0
47.0	26.0
48.0	29.0
49.0	25.0
50.0	6175.0
