#Duplication rate	Coverage
1.0	9443733.0
2.0	1053064.0
3.0	129630.0
4.0	25644.0
5.0	8882.0
6.0	4629.0
7.0	3055.0
8.0	2141.0
9.0	1708.0
10.0	1431.0
11.0	1223.0
12.0	1002.0
13.0	901.0
14.0	744.0
15.0	677.0
16.0	628.0
17.0	579.0
18.0	474.0
19.0	458.0
20.0	380.0
21.0	364.0
22.0	355.0
23.0	301.0
24.0	310.0
25.0	298.0
26.0	277.0
27.0	271.0
28.0	227.0
29.0	216.0
30.0	229.0
31.0	188.0
32.0	214.0
33.0	200.0
34.0	171.0
35.0	151.0
36.0	120.0
37.0	146.0
38.0	132.0
39.0	138.0
40.0	119.0
41.0	106.0
42.0	124.0
43.0	125.0
44.0	121.0
45.0	111.0
46.0	97.0
47.0	85.0
48.0	95.0
49.0	110.0
50.0	9312.0
