#Duplication rate	Coverage
1.0	1945030.0
2.0	508528.0
3.0	133897.0
4.0	36800.0
5.0	11673.0
6.0	4828.0
7.0	2722.0
8.0	1926.0
9.0	1399.0
10.0	1079.0
11.0	899.0
12.0	725.0
13.0	613.0
14.0	522.0
15.0	474.0
16.0	417.0
17.0	339.0
18.0	329.0
19.0	280.0
20.0	247.0
21.0	248.0
22.0	204.0
23.0	185.0
24.0	183.0
25.0	157.0
26.0	130.0
27.0	111.0
28.0	129.0
29.0	111.0
30.0	106.0
31.0	99.0
32.0	74.0
33.0	92.0
34.0	85.0
35.0	85.0
36.0	66.0
37.0	68.0
38.0	59.0
39.0	72.0
40.0	57.0
41.0	40.0
42.0	45.0
43.0	48.0
44.0	48.0
45.0	42.0
46.0	36.0
47.0	45.0
48.0	43.0
49.0	30.0
50.0	6309.0
