#Duplication rate	Coverage
1.0	9350349.0
2.0	1360873.0
3.0	236482.0
4.0	58293.0
5.0	19582.0
6.0	8353.0
7.0	4372.0
8.0	2550.0
9.0	1610.0
10.0	1166.0
11.0	853.0
12.0	620.0
13.0	499.0
14.0	447.0
15.0	319.0
16.0	272.0
17.0	255.0
18.0	208.0
19.0	184.0
20.0	172.0
21.0	144.0
22.0	159.0
23.0	127.0
24.0	118.0
25.0	122.0
26.0	104.0
27.0	100.0
28.0	71.0
29.0	78.0
30.0	89.0
31.0	72.0
32.0	68.0
33.0	73.0
34.0	63.0
35.0	55.0
36.0	61.0
37.0	47.0
38.0	44.0
39.0	38.0
40.0	34.0
41.0	46.0
42.0	44.0
43.0	36.0
44.0	33.0
45.0	41.0
46.0	37.0
47.0	43.0
48.0	33.0
49.0	25.0
50.0	6423.0
