#Duplication rate	Coverage
1.0	5157165.0
2.0	662142.0
3.0	97862.0
4.0	21727.0
5.0	7166.0
6.0	3437.0
7.0	2050.0
8.0	1435.0
9.0	1023.0
10.0	844.0
11.0	668.0
12.0	601.0
13.0	480.0
14.0	414.0
15.0	324.0
16.0	314.0
17.0	296.0
18.0	261.0
19.0	224.0
20.0	204.0
21.0	191.0
22.0	168.0
23.0	168.0
24.0	149.0
25.0	141.0
26.0	128.0
27.0	103.0
28.0	119.0
29.0	108.0
30.0	98.0
31.0	94.0
32.0	73.0
33.0	64.0
34.0	52.0
35.0	62.0
36.0	74.0
37.0	69.0
38.0	52.0
39.0	38.0
40.0	56.0
41.0	66.0
42.0	42.0
43.0	39.0
44.0	52.0
45.0	43.0
46.0	30.0
47.0	49.0
48.0	37.0
49.0	33.0
50.0	1690.0
