#Duplication rate	Coverage
1.0	9790720.0
2.0	1401042.0
3.0	259412.0
4.0	74149.0
5.0	29595.0
6.0	14747.0
7.0	8689.0
8.0	5590.0
9.0	3899.0
10.0	2819.0
11.0	2237.0
12.0	1694.0
13.0	1379.0
14.0	1190.0
15.0	976.0
16.0	874.0
17.0	758.0
18.0	697.0
19.0	602.0
20.0	547.0
21.0	515.0
22.0	455.0
23.0	378.0
24.0	374.0
25.0	322.0
26.0	357.0
27.0	293.0
28.0	290.0
29.0	248.0
30.0	255.0
31.0	239.0
32.0	192.0
33.0	212.0
34.0	212.0
35.0	178.0
36.0	147.0
37.0	166.0
38.0	173.0
39.0	144.0
40.0	116.0
41.0	107.0
42.0	123.0
43.0	109.0
44.0	124.0
45.0	119.0
46.0	117.0
47.0	97.0
48.0	94.0
49.0	98.0
50.0	9360.0
