#Coverage	Number of genomic locations
0.0	2.5058006E9
1.0	1.19029241E8
2.0	4.3104755E7
3.0	2.0724083E7
4.0	1.1458856E7
5.0	6921925.0
6.0	4452615.0
7.0	3038387.0
8.0	2166122.0
9.0	1592691.0
10.0	1210073.0
11.0	937663.0
12.0	743645.0
13.0	598076.0
14.0	485845.0
15.0	399869.0
16.0	334806.0
17.0	281726.0
18.0	238695.0
19.0	203575.0
20.0	174733.0
21.0	150748.0
22.0	131036.0
23.0	113656.0
24.0	99465.0
25.0	88147.0
26.0	78116.0
27.0	70088.0
28.0	62109.0
29.0	56411.0
30.0	49824.0
31.0	45512.0
32.0	40990.0
33.0	37061.0
34.0	33924.0
35.0	31517.0
36.0	28873.0
37.0	26148.0
38.0	24732.0
39.0	22447.0
40.0	20817.0
41.0	19200.0
42.0	17820.0
43.0	16467.0
44.0	15392.0
45.0	14626.0
46.0	13502.0
47.0	12228.0
48.0	11502.0
49.0	10721.0
50.0	9957.0
51.0	9368.0
52.0	8894.0
53.0	8165.0
54.0	7553.0
55.0	7256.0
56.0	6940.0
57.0	6612.0
58.0	6216.0
59.0	5748.0
60.0	5505.0
61.0	5335.0
62.0	5161.0
63.0	4873.0
64.0	4673.0
65.0	4317.0
66.0	4335.0
67.0	4131.0
68.0	3851.0
69.0	3704.0
70.0	3703.0
71.0	3564.0
72.0	3371.0
73.0	3252.0
74.0	3060.0
75.0	2921.0
76.0	2889.0
77.0	2754.0
78.0	2691.0
79.0	2575.0
80.0	2479.0
81.0	2477.0
82.0	2376.0
83.0	2283.0
84.0	2253.0
85.0	2154.0
86.0	2087.0
87.0	1993.0
88.0	1927.0
89.0	1829.0
90.0	1806.0
91.0	1841.0
92.0	1722.0
93.0	1633.0
94.0	1565.0
95.0	1547.0
96.0	1508.0
97.0	1463.0
98.0	1479.0
99.0	1469.0
100.0	1384.0
101.0	1381.0
102.0	1314.0
103.0	1305.0
104.0	1218.0
105.0	1188.0
106.0	1174.0
107.0	1137.0
108.0	1069.0
109.0	1087.0
110.0	1058.0
111.0	1060.0
112.0	1010.0
113.0	948.0
114.0	976.0
115.0	895.0
116.0	987.0
117.0	812.0
118.0	804.0
119.0	834.0
120.0	817.0
121.0	781.0
122.0	740.0
123.0	769.0
124.0	756.0
125.0	711.0
126.0	694.0
127.0	709.0
128.0	695.0
129.0	641.0
130.0	631.0
131.0	648.0
132.0	634.0
133.0	624.0
134.0	562.0
135.0	571.0
136.0	554.0
137.0	535.0
138.0	540.0
139.0	569.0
140.0	513.0
141.0	500.0
142.0	523.0
143.0	528.0
144.0	487.0
145.0	515.0
146.0	503.0
147.0	517.0
148.0	482.0
149.0	445.0
150.0	449.0
151.0	445.0
152.0	408.0
153.0	461.0
154.0	403.0
155.0	391.0
156.0	418.0
157.0	417.0
158.0	396.0
159.0	415.0
160.0	391.0
161.0	395.0
162.0	364.0
163.0	380.0
164.0	339.0
165.0	367.0
166.0	380.0
167.0	343.0
168.0	369.0
169.0	394.0
170.0	380.0
171.0	351.0
172.0	364.0
173.0	335.0
174.0	313.0
175.0	349.0
176.0	319.0
177.0	323.0
178.0	305.0
179.0	295.0
180.0	301.0
181.0	276.0
182.0	312.0
183.0	305.0
184.0	342.0
185.0	320.0
186.0	279.0
187.0	321.0
188.0	280.0
189.0	263.0
190.0	295.0
191.0	275.0
192.0	299.0
193.0	274.0
194.0	300.0
195.0	287.0
196.0	295.0
197.0	268.0
198.0	248.0
199.0	287.0
200.0	281.0
201.0	245.0
202.0	264.0
203.0	261.0
204.0	227.0
205.0	242.0
206.0	237.0
207.0	259.0
208.0	234.0
209.0	212.0
210.0	216.0
211.0	197.0
212.0	196.0
213.0	181.0
214.0	170.0
215.0	191.0
216.0	201.0
217.0	180.0
218.0	170.0
219.0	174.0
220.0	186.0
221.0	198.0
222.0	193.0
223.0	167.0
224.0	205.0
225.0	179.0
226.0	186.0
227.0	194.0
228.0	153.0
229.0	170.0
230.0	154.0
231.0	159.0
232.0	142.0
233.0	158.0
234.0	152.0
235.0	146.0
236.0	152.0
237.0	165.0
238.0	126.0
239.0	126.0
240.0	123.0
241.0	124.0
242.0	133.0
243.0	112.0
244.0	155.0
245.0	132.0
246.0	130.0
247.0	104.0
248.0	119.0
249.0	122.0
250.0	120.0
251.0	98.0
