#Duplication rate	Coverage
1.0	4235916.0
2.0	439274.0
3.0	55176.0
4.0	12331.0
5.0	4609.0
6.0	2368.0
7.0	1458.0
8.0	981.0
9.0	701.0
10.0	554.0
11.0	421.0
12.0	309.0
13.0	299.0
14.0	249.0
15.0	208.0
16.0	179.0
17.0	158.0
18.0	148.0
19.0	130.0
20.0	116.0
21.0	103.0
22.0	98.0
23.0	76.0
24.0	81.0
25.0	80.0
26.0	68.0
27.0	58.0
28.0	55.0
29.0	65.0
30.0	62.0
31.0	47.0
32.0	61.0
33.0	60.0
34.0	34.0
35.0	41.0
36.0	36.0
37.0	44.0
38.0	48.0
39.0	43.0
40.0	23.0
41.0	32.0
42.0	28.0
43.0	34.0
44.0	29.0
45.0	29.0
46.0	26.0
47.0	32.0
48.0	22.0
49.0	36.0
50.0	5751.0
