#Duplication rate	Coverage
1.0	4550598.0
2.0	493207.0
3.0	59147.0
4.0	11515.0
5.0	4189.0
6.0	2308.0
7.0	1620.0
8.0	1216.0
9.0	991.0
10.0	834.0
11.0	769.0
12.0	655.0
13.0	576.0
14.0	480.0
15.0	427.0
16.0	372.0
17.0	353.0
18.0	323.0
19.0	293.0
20.0	270.0
21.0	224.0
22.0	235.0
23.0	198.0
24.0	216.0
25.0	187.0
26.0	191.0
27.0	136.0
28.0	159.0
29.0	150.0
30.0	130.0
31.0	132.0
32.0	131.0
33.0	112.0
34.0	90.0
35.0	108.0
36.0	72.0
37.0	88.0
38.0	65.0
39.0	68.0
40.0	76.0
41.0	59.0
42.0	82.0
43.0	80.0
44.0	59.0
45.0	52.0
46.0	42.0
47.0	63.0
48.0	57.0
49.0	50.0
50.0	2113.0
