#Duplication rate	Coverage
1.0	4112077.0
2.0	477958.0
3.0	65077.0
4.0	13726.0
5.0	4511.0
6.0	2253.0
7.0	1349.0
8.0	881.0
9.0	695.0
10.0	556.0
11.0	454.0
12.0	369.0
13.0	314.0
14.0	316.0
15.0	259.0
16.0	251.0
17.0	242.0
18.0	209.0
19.0	179.0
20.0	155.0
21.0	158.0
22.0	165.0
23.0	125.0
24.0	144.0
25.0	139.0
26.0	125.0
27.0	118.0
28.0	94.0
29.0	103.0
30.0	81.0
31.0	74.0
32.0	80.0
33.0	71.0
34.0	74.0
35.0	59.0
36.0	74.0
37.0	70.0
38.0	65.0
39.0	53.0
40.0	51.0
41.0	38.0
42.0	47.0
43.0	49.0
44.0	47.0
45.0	37.0
46.0	35.0
47.0	39.0
48.0	37.0
49.0	41.0
50.0	1458.0
