#Coverage	Number of genomic locations
0.0	2.610057291E9
1.0	6.1164525E7
2.0	2.3390554E7
3.0	1.1183847E7
4.0	6122130.0
5.0	3678279.0
6.0	2375940.0
7.0	1633550.0
8.0	1165393.0
9.0	855273.0
10.0	650342.0
11.0	503463.0
12.0	398016.0
13.0	320022.0
14.0	258433.0
15.0	214446.0
16.0	179281.0
17.0	152057.0
18.0	127634.0
19.0	109407.0
20.0	93939.0
21.0	81942.0
22.0	69906.0
23.0	61554.0
24.0	55202.0
25.0	48838.0
26.0	42391.0
27.0	38055.0
28.0	34356.0
29.0	30753.0
30.0	27674.0
31.0	25405.0
32.0	23278.0
33.0	21495.0
34.0	19610.0
35.0	18140.0
36.0	16876.0
37.0	15520.0
38.0	14306.0
39.0	13007.0
40.0	11982.0
41.0	11494.0
42.0	10660.0
43.0	9954.0
44.0	9131.0
45.0	8584.0
46.0	8314.0
47.0	7555.0
48.0	6853.0
49.0	6556.0
50.0	6151.0
51.0	5722.0
52.0	5605.0
53.0	5300.0
54.0	4854.0
55.0	4538.0
56.0	4305.0
57.0	4091.0
58.0	3901.0
59.0	3758.0
60.0	3555.0
61.0	3363.0
62.0	3352.0
63.0	3040.0
64.0	3007.0
65.0	2788.0
66.0	2717.0
67.0	2573.0
68.0	2409.0
69.0	2266.0
70.0	2183.0
71.0	2131.0
72.0	2028.0
73.0	1943.0
74.0	1778.0
75.0	1749.0
76.0	1614.0
77.0	1539.0
78.0	1438.0
79.0	1382.0
80.0	1345.0
81.0	1326.0
82.0	1256.0
83.0	1207.0
84.0	1117.0
85.0	1057.0
86.0	1006.0
87.0	996.0
88.0	887.0
89.0	862.0
90.0	823.0
91.0	826.0
92.0	786.0
93.0	757.0
94.0	680.0
95.0	674.0
96.0	646.0
97.0	596.0
98.0	598.0
99.0	598.0
100.0	549.0
101.0	520.0
102.0	559.0
103.0	537.0
104.0	475.0
105.0	456.0
106.0	451.0
107.0	477.0
108.0	412.0
109.0	409.0
110.0	377.0
111.0	388.0
112.0	365.0
113.0	356.0
114.0	372.0
115.0	347.0
116.0	325.0
117.0	348.0
118.0	301.0
119.0	350.0
120.0	356.0
121.0	298.0
122.0	337.0
123.0	310.0
124.0	318.0
125.0	333.0
126.0	315.0
127.0	272.0
128.0	301.0
129.0	292.0
130.0	289.0
131.0	321.0
132.0	284.0
133.0	296.0
134.0	324.0
135.0	266.0
136.0	279.0
137.0	292.0
138.0	303.0
139.0	308.0
140.0	278.0
141.0	248.0
142.0	226.0
143.0	278.0
144.0	263.0
145.0	268.0
146.0	250.0
147.0	227.0
148.0	262.0
149.0	240.0
150.0	243.0
151.0	224.0
152.0	207.0
153.0	194.0
154.0	197.0
155.0	185.0
156.0	202.0
157.0	211.0
158.0	171.0
159.0	181.0
160.0	149.0
161.0	172.0
162.0	176.0
163.0	163.0
164.0	180.0
165.0	196.0
166.0	157.0
167.0	158.0
168.0	154.0
169.0	142.0
170.0	140.0
171.0	163.0
172.0	126.0
173.0	132.0
174.0	126.0
175.0	126.0
176.0	108.0
177.0	117.0
178.0	107.0
179.0	126.0
180.0	134.0
181.0	110.0
182.0	103.0
183.0	116.0
184.0	106.0
185.0	106.0
186.0	99.0
187.0	111.0
188.0	95.0
189.0	99.0
190.0	83.0
191.0	87.0
192.0	62.0
193.0	64.0
194.0	80.0
195.0	72.0
196.0	66.0
197.0	67.0
198.0	69.0
199.0	67.0
200.0	88.0
201.0	72.0
202.0	80.0
203.0	70.0
204.0	81.0
205.0	68.0
206.0	53.0
207.0	74.0
208.0	69.0
209.0	66.0
210.0	62.0
211.0	68.0
212.0	52.0
213.0	62.0
214.0	59.0
215.0	54.0
216.0	47.0
217.0	56.0
218.0	47.0
219.0	68.0
220.0	63.0
221.0	60.0
222.0	66.0
223.0	40.0
224.0	57.0
225.0	76.0
226.0	55.0
227.0	50.0
228.0	61.0
229.0	57.0
230.0	56.0
231.0	53.0
232.0	43.0
233.0	40.0
234.0	35.0
235.0	44.0
236.0	36.0
237.0	30.0
238.0	41.0
239.0	46.0
240.0	49.0
241.0	50.0
242.0	32.0
243.0	38.0
244.0	34.0
245.0	36.0
246.0	45.0
247.0	41.0
248.0	41.0
249.0	43.0
250.0	40.0
251.0	40.0
252.0	42.0
253.0	34.0
254.0	43.0
255.0	39.0
256.0	40.0
257.0	48.0
258.0	32.0
259.0	42.0
260.0	36.0
261.0	37.0
262.0	36.0
263.0	39.0
264.0	25.0
265.0	41.0
266.0	50.0
267.0	31.0
268.0	41.0
269.0	40.0
270.0	31.0
271.0	21.0
272.0	26.0
273.0	39.0
274.0	39.0
275.0	39.0
276.0	30.0
277.0	28.0
278.0	35.0
279.0	36.0
280.0	31.0
281.0	43.0
282.0	49.0
283.0	28.0
284.0	32.0
285.0	24.0
286.0	24.0
287.0	27.0
288.0	25.0
289.0	28.0
290.0	29.0
291.0	21.0
292.0	27.0
293.0	22.0
294.0	37.0
295.0	24.0
296.0	17.0
297.0	23.0
298.0	24.0
299.0	27.0
300.0	28.0
301.0	18.0
302.0	25.0
303.0	19.0
304.0	45.0
305.0	21.0
306.0	28.0
307.0	30.0
308.0	30.0
309.0	25.0
310.0	33.0
311.0	26.0
312.0	37.0
313.0	24.0
314.0	24.0
315.0	16.0
316.0	18.0
317.0	18.0
318.0	17.0
319.0	20.0
320.0	17.0
321.0	26.0
322.0	21.0
323.0	19.0
324.0	21.0
325.0	21.0
326.0	17.0
327.0	15.0
328.0	10.0
329.0	14.0
330.0	16.0
331.0	19.0
332.0	22.0
333.0	15.0
334.0	16.0
335.0	16.0
336.0	16.0
337.0	16.0
338.0	6.0
339.0	17.0
340.0	14.0
341.0	15.0
342.0	10.0
343.0	16.0
344.0	18.0
345.0	7.0
346.0	13.0
347.0	9.0
348.0	11.0
349.0	14.0
350.0	15.0
351.0	10.0
352.0	13.0
353.0	8.0
354.0	18.0
355.0	16.0
356.0	15.0
357.0	20.0
358.0	13.0
359.0	13.0
360.0	16.0
361.0	22.0
362.0	15.0
363.0	20.0
364.0	9.0
365.0	6.0
366.0	15.0
367.0	14.0
368.0	17.0
369.0	16.0
370.0	13.0
371.0	10.0
372.0	15.0
373.0	8.0
374.0	13.0
375.0	13.0
376.0	20.0
377.0	10.0
378.0	17.0
379.0	8.0
380.0	9.0
381.0	12.0
382.0	19.0
383.0	13.0
384.0	15.0
385.0	20.0
386.0	14.0
387.0	15.0
388.0	11.0
389.0	21.0
390.0	28.0
391.0	38.0
392.0	21.0
393.0	24.0
394.0	15.0
395.0	11.0
396.0	12.0
397.0	3.0
398.0	7.0
399.0	8.0
400.0	13.0
401.0	11.0
402.0	20.0
403.0	12.0
404.0	10.0
405.0	6.0
406.0	11.0
407.0	7.0
408.0	16.0
409.0	15.0
410.0	11.0
411.0	14.0
412.0	9.0
413.0	14.0
414.0	10.0
415.0	11.0
416.0	10.0
417.0	19.0
418.0	11.0
419.0	14.0
420.0	8.0
421.0	9.0
422.0	10.0
423.0	4.0
424.0	13.0
425.0	9.0
426.0	15.0
427.0	13.0
428.0	17.0
429.0	11.0
430.0	9.0
431.0	15.0
432.0	14.0
433.0	10.0
434.0	9.0
435.0	9.0
436.0	12.0
437.0	11.0
438.0	6.0
439.0	13.0
440.0	8.0
441.0	8.0
442.0	12.0
443.0	14.0
444.0	14.0
445.0	14.0
446.0	9.0
447.0	8.0
448.0	14.0
449.0	10.0
450.0	11.0
451.0	14.0
452.0	9.0
453.0	12.0
454.0	7.0
455.0	12.0
456.0	15.0
457.0	6.0
458.0	8.0
459.0	9.0
460.0	8.0
461.0	7.0
462.0	12.0
463.0	13.0
464.0	13.0
465.0	7.0
466.0	8.0
467.0	13.0
468.0	22.0
469.0	14.0
470.0	11.0
471.0	14.0
472.0	12.0
473.0	5.0
474.0	9.0
475.0	10.0
476.0	8.0
477.0	11.0
478.0	17.0
479.0	18.0
480.0	11.0
481.0	13.0
482.0	15.0
483.0	13.0
484.0	7.0
485.0	16.0
486.0	9.0
487.0	10.0
