#Duplication rate	Coverage
1.0	4821894.0
2.0	862376.0
3.0	179041.0
4.0	48955.0
5.0	17798.0
6.0	8095.0
7.0	4414.0
8.0	2721.0
9.0	1766.0
10.0	1180.0
11.0	891.0
12.0	665.0
13.0	537.0
14.0	466.0
15.0	351.0
16.0	297.0
17.0	262.0
18.0	211.0
19.0	208.0
20.0	160.0
21.0	150.0
22.0	133.0
23.0	107.0
24.0	88.0
25.0	100.0
26.0	127.0
27.0	84.0
28.0	72.0
29.0	67.0
30.0	42.0
31.0	58.0
32.0	64.0
33.0	54.0
34.0	51.0
35.0	58.0
36.0	46.0
37.0	38.0
38.0	40.0
39.0	48.0
40.0	45.0
41.0	36.0
42.0	42.0
43.0	31.0
44.0	35.0
45.0	31.0
46.0	37.0
47.0	24.0
48.0	32.0
49.0	28.0
50.0	5970.0
