#Duplication rate	Coverage
1.0	1.6465401E7
2.0	2369339.0
3.0	422294.0
4.0	110120.0
5.0	40383.0
6.0	18865.0
7.0	10849.0
8.0	6944.0
9.0	4877.0
10.0	3577.0
11.0	2873.0
12.0	2375.0
13.0	1880.0
14.0	1686.0
15.0	1404.0
16.0	1220.0
17.0	1046.0
18.0	930.0
19.0	774.0
20.0	760.0
21.0	621.0
22.0	571.0
23.0	545.0
24.0	429.0
25.0	418.0
26.0	369.0
27.0	353.0
28.0	334.0
29.0	315.0
30.0	293.0
31.0	244.0
32.0	233.0
33.0	218.0
34.0	204.0
35.0	197.0
36.0	184.0
37.0	163.0
38.0	153.0
39.0	185.0
40.0	152.0
41.0	148.0
42.0	138.0
43.0	105.0
44.0	134.0
45.0	142.0
46.0	131.0
47.0	109.0
48.0	108.0
49.0	105.0
50.0	9777.0
