#Duplication rate	Coverage
1.0	8219218.0
2.0	1149549.0
3.0	197722.0
4.0	50881.0
5.0	19070.0
6.0	9147.0
7.0	5383.0
8.0	3672.0
9.0	2709.0
10.0	2046.0
11.0	1686.0
12.0	1395.0
13.0	1065.0
14.0	962.0
15.0	808.0
16.0	696.0
17.0	615.0
18.0	545.0
19.0	412.0
20.0	441.0
21.0	336.0
22.0	319.0
23.0	286.0
24.0	249.0
25.0	231.0
26.0	189.0
27.0	175.0
28.0	170.0
29.0	145.0
30.0	134.0
31.0	113.0
32.0	127.0
33.0	92.0
34.0	89.0
35.0	83.0
36.0	74.0
37.0	59.0
38.0	71.0
39.0	67.0
40.0	72.0
41.0	56.0
42.0	53.0
43.0	57.0
44.0	54.0
45.0	60.0
46.0	46.0
47.0	54.0
48.0	50.0
49.0	43.0
50.0	6363.0
