#Mapping quality	mapping quality
0.0	426134.0
1.0	1.3291685E7
2.0	91032.0
3.0	110595.0
4.0	41677.0
5.0	23049.0
6.0	357954.0
7.0	194126.0
8.0	156718.0
9.0	43292.0
10.0	43775.0
11.0	163162.0
12.0	387366.0
13.0	24961.0
14.0	78348.0
15.0	212306.0
16.0	145800.0
17.0	311723.0
18.0	310544.0
19.0	39381.0
20.0	67298.0
21.0	496680.0
22.0	135364.0
23.0	714696.0
24.0	1096097.0
25.0	186116.0
26.0	144261.0
27.0	130488.0
28.0	190167.0
29.0	156125.0
30.0	1972557.0
31.0	1774268.0
32.0	2143890.0
33.0	807256.0
34.0	1989033.0
35.0	1323849.0
36.0	1126389.0
37.0	970139.0
38.0	1139608.0
39.0	707549.0
40.0	3529279.0
41.0	5088920.0
42.0	2.12646323E8
