#Duplication rate	Coverage
1.0	1872033.0
2.0	478645.0
3.0	123617.0
4.0	32649.0
5.0	9857.0
6.0	3969.0
7.0	2138.0
8.0	1457.0
9.0	1095.0
10.0	929.0
11.0	756.0
12.0	625.0
13.0	575.0
14.0	533.0
15.0	431.0
16.0	388.0
17.0	367.0
18.0	324.0
19.0	312.0
20.0	291.0
21.0	257.0
22.0	238.0
23.0	241.0
24.0	211.0
25.0	200.0
26.0	199.0
27.0	165.0
28.0	153.0
29.0	178.0
30.0	131.0
31.0	103.0
32.0	137.0
33.0	128.0
34.0	132.0
35.0	102.0
36.0	104.0
37.0	102.0
38.0	107.0
39.0	80.0
40.0	77.0
41.0	65.0
42.0	72.0
43.0	60.0
44.0	78.0
45.0	68.0
46.0	70.0
47.0	47.0
48.0	68.0
49.0	71.0
50.0	2489.0
