#Mapping quality	mapping quality
0.0	347269.0
1.0	9141988.0
2.0	75416.0
3.0	96327.0
4.0	38431.0
5.0	20552.0
6.0	261021.0
7.0	149191.0
8.0	137948.0
9.0	38220.0
10.0	41281.0
11.0	126832.0
12.0	276351.0
13.0	26241.0
14.0	67727.0
15.0	172970.0
16.0	117961.0
17.0	220284.0
18.0	223641.0
19.0	38462.0
20.0	64686.0
21.0	407296.0
22.0	119816.0
23.0	605186.0
24.0	936023.0
25.0	169986.0
26.0	128424.0
27.0	123938.0
28.0	184275.0
29.0	151719.0
30.0	1305423.0
31.0	1184248.0
32.0	1523718.0
33.0	783821.0
34.0	1263291.0
35.0	981469.0
36.0	975193.0
37.0	879256.0
38.0	1069375.0
39.0	747332.0
40.0	3030938.0
41.0	4842431.0
42.0	1.78766397E8
