#Duplication rate	Coverage
1.0	6517275.0
2.0	904362.0
3.0	144483.0
4.0	33672.0
5.0	11921.0
6.0	5838.0
7.0	3455.0
8.0	2304.0
9.0	1747.0
10.0	1299.0
11.0	967.0
12.0	810.0
13.0	615.0
14.0	488.0
15.0	440.0
16.0	374.0
17.0	310.0
18.0	292.0
19.0	248.0
20.0	215.0
21.0	175.0
22.0	170.0
23.0	144.0
24.0	139.0
25.0	115.0
26.0	130.0
27.0	85.0
28.0	90.0
29.0	92.0
30.0	96.0
31.0	61.0
32.0	62.0
33.0	63.0
34.0	79.0
35.0	57.0
36.0	46.0
37.0	57.0
38.0	44.0
39.0	48.0
40.0	46.0
41.0	46.0
42.0	44.0
43.0	50.0
44.0	32.0
45.0	40.0
46.0	31.0
47.0	24.0
48.0	28.0
49.0	21.0
50.0	6222.0
