#Coverage	Number of genomic locations
0.0	2.357485132E9
1.0	1.48652032E8
2.0	7.4428499E7
3.0	4.6876651E7
4.0	3.0404129E7
5.0	2.0007757E7
6.0	1.3385522E7
7.0	9120827.0
8.0	6361030.0
9.0	4519748.0
10.0	3281859.0
11.0	2421741.0
12.0	1817297.0
13.0	1373467.0
14.0	1058557.0
15.0	821971.0
16.0	638234.0
17.0	502856.0
18.0	401616.0
19.0	323582.0
20.0	262104.0
21.0	215076.0
22.0	175956.0
23.0	145037.0
24.0	120271.0
25.0	101822.0
26.0	85904.0
27.0	72483.0
28.0	61530.0
29.0	52489.0
30.0	44658.0
31.0	38208.0
32.0	32394.0
33.0	27647.0
34.0	24137.0
35.0	20343.0
36.0	17834.0
37.0	15595.0
38.0	13760.0
39.0	12231.0
40.0	11298.0
41.0	9770.0
42.0	8756.0
43.0	8275.0
44.0	7258.0
45.0	6420.0
46.0	5930.0
47.0	5210.0
48.0	4667.0
49.0	4326.0
50.0	3748.0
51.0	3481.0
52.0	3126.0
53.0	2827.0
54.0	2560.0
55.0	2397.0
56.0	2166.0
57.0	1958.0
58.0	1721.0
59.0	1517.0
60.0	1396.0
61.0	1344.0
62.0	1201.0
63.0	1072.0
64.0	1069.0
65.0	963.0
66.0	848.0
67.0	810.0
68.0	809.0
69.0	749.0
70.0	688.0
71.0	596.0
72.0	546.0
73.0	482.0
74.0	455.0
75.0	387.0
76.0	335.0
77.0	235.0
78.0	282.0
79.0	791.0
80.0	2252.0
81.0	766.0
82.0	171.0
83.0	25.0
