#Duplication rate	Coverage
1.0	9372826.0
2.0	1226082.0
3.0	210625.0
4.0	56930.0
5.0	21771.0
6.0	10524.0
7.0	5982.0
8.0	3829.0
9.0	2692.0
10.0	1964.0
11.0	1495.0
12.0	1282.0
13.0	1086.0
14.0	917.0
15.0	828.0
16.0	700.0
17.0	644.0
18.0	570.0
19.0	531.0
20.0	503.0
21.0	478.0
22.0	476.0
23.0	416.0
24.0	382.0
25.0	343.0
26.0	359.0
27.0	358.0
28.0	266.0
29.0	283.0
30.0	283.0
31.0	256.0
32.0	255.0
33.0	218.0
34.0	222.0
35.0	217.0
36.0	222.0
37.0	178.0
38.0	196.0
39.0	183.0
40.0	175.0
41.0	174.0
42.0	158.0
43.0	163.0
44.0	158.0
45.0	163.0
46.0	168.0
47.0	150.0
48.0	167.0
49.0	129.0
50.0	7270.0
