#Coverage	Number of genomic locations
0.0	2.473515015E9
1.0	1.63549724E8
2.0	4.0513583E7
3.0	1.6942168E7
4.0	9473200.0
5.0	5882761.0
6.0	3862089.0
7.0	2640075.0
8.0	1864214.0
9.0	1364555.0
10.0	1027645.0
11.0	791144.0
12.0	617534.0
13.0	490920.0
14.0	398727.0
15.0	325532.0
16.0	268820.0
17.0	225906.0
18.0	190693.0
19.0	163047.0
20.0	139692.0
21.0	121725.0
22.0	105718.0
23.0	91094.0
24.0	79804.0
25.0	70379.0
26.0	62014.0
27.0	55537.0
28.0	49165.0
29.0	44104.0
30.0	38882.0
31.0	35749.0
32.0	31685.0
33.0	28698.0
34.0	25869.0
35.0	23622.0
36.0	21019.0
37.0	19538.0
38.0	18318.0
39.0	16576.0
40.0	15173.0
41.0	14059.0
42.0	13053.0
43.0	11906.0
44.0	11328.0
45.0	10516.0
46.0	9676.0
47.0	9126.0
48.0	8599.0
49.0	8049.0
50.0	7414.0
51.0	6880.0
52.0	6477.0
53.0	6075.0
54.0	5647.0
55.0	5536.0
56.0	5302.0
57.0	4928.0
58.0	4708.0
59.0	4403.0
60.0	4048.0
61.0	3905.0
62.0	3865.0
63.0	3720.0
64.0	3456.0
65.0	3419.0
66.0	3090.0
67.0	2975.0
68.0	2882.0
69.0	2835.0
70.0	2440.0
71.0	2425.0
72.0	2428.0
73.0	2221.0
74.0	2140.0
75.0	1998.0
76.0	2058.0
77.0	1927.0
78.0	1841.0
79.0	1835.0
80.0	1821.0
81.0	1717.0
82.0	1651.0
83.0	1581.0
84.0	1610.0
85.0	1394.0
86.0	1425.0
87.0	1320.0
88.0	1286.0
89.0	1254.0
90.0	1251.0
91.0	1191.0
92.0	1198.0
93.0	1121.0
94.0	1138.0
95.0	1132.0
96.0	1145.0
97.0	1112.0
98.0	1036.0
99.0	1047.0
100.0	1077.0
101.0	992.0
102.0	1007.0
103.0	986.0
104.0	956.0
105.0	896.0
106.0	946.0
107.0	900.0
108.0	931.0
109.0	867.0
110.0	877.0
111.0	819.0
112.0	814.0
113.0	812.0
114.0	772.0
115.0	792.0
116.0	727.0
117.0	708.0
118.0	721.0
119.0	733.0
120.0	707.0
121.0	733.0
122.0	733.0
123.0	711.0
124.0	675.0
125.0	686.0
126.0	725.0
127.0	627.0
128.0	681.0
129.0	629.0
130.0	665.0
131.0	625.0
132.0	629.0
133.0	591.0
134.0	538.0
135.0	559.0
136.0	566.0
137.0	538.0
138.0	546.0
139.0	531.0
140.0	510.0
141.0	541.0
142.0	527.0
143.0	548.0
144.0	494.0
145.0	492.0
146.0	508.0
147.0	467.0
148.0	463.0
149.0	442.0
150.0	476.0
151.0	467.0
152.0	447.0
153.0	412.0
154.0	449.0
155.0	407.0
156.0	402.0
157.0	405.0
158.0	381.0
159.0	401.0
160.0	406.0
161.0	378.0
162.0	392.0
163.0	375.0
164.0	368.0
165.0	409.0
166.0	361.0
167.0	358.0
168.0	327.0
169.0	364.0
170.0	366.0
171.0	362.0
172.0	307.0
173.0	349.0
174.0	302.0
175.0	343.0
176.0	309.0
177.0	323.0
178.0	323.0
179.0	302.0
180.0	297.0
181.0	274.0
182.0	282.0
183.0	270.0
184.0	266.0
185.0	277.0
186.0	238.0
187.0	270.0
188.0	245.0
189.0	223.0
190.0	271.0
191.0	270.0
192.0	258.0
193.0	249.0
194.0	260.0
195.0	264.0
196.0	238.0
197.0	242.0
198.0	266.0
199.0	253.0
200.0	212.0
201.0	267.0
202.0	223.0
203.0	232.0
204.0	223.0
205.0	228.0
206.0	222.0
207.0	223.0
208.0	283.0
209.0	216.0
210.0	215.0
211.0	253.0
212.0	227.0
213.0	220.0
214.0	216.0
215.0	216.0
216.0	190.0
217.0	221.0
218.0	221.0
219.0	199.0
220.0	190.0
221.0	203.0
222.0	213.0
223.0	192.0
224.0	198.0
225.0	191.0
226.0	208.0
227.0	208.0
228.0	180.0
229.0	194.0
230.0	216.0
231.0	199.0
232.0	170.0
233.0	166.0
234.0	208.0
235.0	198.0
236.0	174.0
237.0	214.0
238.0	200.0
239.0	188.0
240.0	185.0
241.0	212.0
242.0	194.0
243.0	171.0
244.0	180.0
245.0	195.0
246.0	190.0
247.0	175.0
248.0	213.0
249.0	180.0
250.0	192.0
251.0	181.0
252.0	204.0
253.0	185.0
254.0	184.0
255.0	176.0
256.0	161.0
257.0	167.0
258.0	178.0
259.0	178.0
260.0	157.0
261.0	195.0
262.0	189.0
263.0	201.0
264.0	174.0
265.0	171.0
266.0	187.0
267.0	157.0
268.0	161.0
269.0	152.0
270.0	182.0
271.0	181.0
272.0	160.0
273.0	164.0
274.0	166.0
275.0	142.0
276.0	157.0
277.0	158.0
278.0	167.0
279.0	165.0
280.0	175.0
281.0	150.0
282.0	190.0
283.0	180.0
284.0	159.0
285.0	145.0
286.0	146.0
287.0	125.0
288.0	134.0
289.0	149.0
290.0	141.0
291.0	152.0
292.0	103.0
293.0	137.0
294.0	126.0
295.0	122.0
296.0	132.0
297.0	101.0
298.0	144.0
299.0	130.0
300.0	118.0
301.0	143.0
302.0	144.0
303.0	115.0
304.0	136.0
305.0	139.0
306.0	150.0
307.0	138.0
308.0	105.0
309.0	123.0
310.0	145.0
311.0	107.0
312.0	118.0
313.0	113.0
314.0	115.0
315.0	124.0
316.0	115.0
317.0	110.0
318.0	130.0
319.0	108.0
320.0	110.0
321.0	114.0
322.0	106.0
323.0	103.0
324.0	105.0
325.0	100.0
326.0	109.0
327.0	103.0
328.0	112.0
329.0	99.0
330.0	107.0
331.0	95.0
332.0	92.0
333.0	87.0
334.0	102.0
335.0	95.0
336.0	92.0
337.0	80.0
338.0	91.0
339.0	109.0
340.0	98.0
341.0	108.0
342.0	101.0
343.0	85.0
344.0	82.0
345.0	102.0
346.0	88.0
347.0	78.0
348.0	72.0
349.0	83.0
350.0	101.0
351.0	82.0
352.0	59.0
353.0	82.0
354.0	70.0
355.0	62.0
356.0	81.0
357.0	69.0
358.0	73.0
359.0	69.0
360.0	62.0
361.0	55.0
362.0	51.0
363.0	49.0
364.0	59.0
365.0	57.0
366.0	69.0
367.0	59.0
368.0	62.0
369.0	72.0
370.0	48.0
371.0	59.0
372.0	74.0
373.0	73.0
