#Duplication rate	Coverage
1.0	9678549.0
2.0	1293422.0
3.0	226238.0
4.0	62862.0
5.0	25087.0
6.0	12704.0
7.0	7634.0
8.0	5045.0
9.0	3605.0
10.0	2726.0
11.0	2178.0
12.0	1722.0
13.0	1406.0
14.0	1261.0
15.0	1040.0
16.0	866.0
17.0	747.0
18.0	644.0
19.0	530.0
20.0	497.0
21.0	447.0
22.0	402.0
23.0	389.0
24.0	287.0
25.0	339.0
26.0	279.0
27.0	268.0
28.0	220.0
29.0	199.0
30.0	221.0
31.0	189.0
32.0	189.0
33.0	170.0
34.0	153.0
35.0	138.0
36.0	158.0
37.0	129.0
38.0	144.0
39.0	124.0
40.0	124.0
41.0	104.0
42.0	95.0
43.0	94.0
44.0	108.0
45.0	87.0
46.0	99.0
47.0	68.0
48.0	91.0
49.0	89.0
50.0	8251.0
