#Coverage	Number of genomic locations
0.0	2.48913071E9
1.0	1.31957088E8
2.0	3.4823608E7
3.0	2.0332989E7
4.0	1.3313525E7
5.0	9088634.0
6.0	6418826.0
7.0	4643726.0
8.0	3408601.0
9.0	2560404.0
10.0	1951582.0
11.0	1501638.0
12.0	1166514.0
13.0	919274.0
14.0	730824.0
15.0	586243.0
16.0	471764.0
17.0	384834.0
18.0	314418.0
19.0	259833.0
20.0	215635.0
21.0	179507.0
22.0	151652.0
23.0	129733.0
24.0	110621.0
25.0	94841.0
26.0	82374.0
27.0	71459.0
28.0	62510.0
29.0	53558.0
30.0	46773.0
31.0	40194.0
32.0	35240.0
33.0	31074.0
34.0	27648.0
35.0	24926.0
36.0	21838.0
37.0	19549.0
38.0	17625.0
39.0	15809.0
40.0	14250.0
41.0	13033.0
42.0	12205.0
43.0	11157.0
44.0	10032.0
45.0	8937.0
46.0	8022.0
47.0	7171.0
48.0	6154.0
49.0	5427.0
50.0	4771.0
51.0	4196.0
52.0	3913.0
53.0	3393.0
54.0	2983.0
55.0	2744.0
56.0	2349.0
57.0	2088.0
58.0	1845.0
59.0	1563.0
60.0	1382.0
61.0	1190.0
62.0	1020.0
63.0	925.0
64.0	770.0
65.0	738.0
66.0	589.0
67.0	495.0
68.0	445.0
69.0	416.0
70.0	399.0
71.0	477.0
72.0	481.0
73.0	472.0
74.0	490.0
75.0	633.0
76.0	737.0
77.0	799.0
78.0	601.0
79.0	526.0
80.0	238.0
81.0	12.0
