#Mapping quality	mapping quality
0.0	353026.0
1.0	1.8247599E7
2.0	98096.0
3.0	95701.0
4.0	47717.0
5.0	30848.0
6.0	410061.0
7.0	202877.0
8.0	130650.0
9.0	49689.0
10.0	57915.0
11.0	153730.0
12.0	376892.0
13.0	31389.0
14.0	81715.0
15.0	234274.0
16.0	165767.0
17.0	289840.0
18.0	274490.0
19.0	56573.0
20.0	84343.0
21.0	418709.0
22.0	128918.0
23.0	481074.0
24.0	803266.0
25.0	196859.0
26.0	174160.0
27.0	168533.0
28.0	246774.0
29.0	193889.0
30.0	2089034.0
31.0	1780526.0
32.0	2010306.0
33.0	761148.0
34.0	1975168.0
35.0	1344682.0
36.0	1205803.0
37.0	1175074.0
38.0	1489202.0
39.0	1408760.0
40.0	3220775.0
41.0	8318545.0
42.0	1.85342562E8
