#Duplication rate	Coverage
1.0	1.0564853E7
2.0	1704316.0
3.0	334189.0
4.0	89196.0
5.0	31017.0
6.0	13805.0
7.0	7423.0
8.0	4450.0
9.0	2838.0
10.0	2142.0
11.0	1580.0
12.0	1213.0
13.0	942.0
14.0	731.0
15.0	676.0
16.0	575.0
17.0	461.0
18.0	396.0
19.0	407.0
20.0	326.0
21.0	318.0
22.0	278.0
23.0	260.0
24.0	229.0
25.0	211.0
26.0	178.0
27.0	170.0
28.0	182.0
29.0	125.0
30.0	148.0
31.0	140.0
32.0	97.0
33.0	108.0
34.0	109.0
35.0	112.0
36.0	108.0
37.0	76.0
38.0	77.0
39.0	59.0
40.0	63.0
41.0	62.0
42.0	57.0
43.0	64.0
44.0	52.0
45.0	53.0
46.0	67.0
47.0	50.0
48.0	37.0
49.0	26.0
50.0	1807.0
