#Mapping quality	mapping quality
0.0	249787.0
1.0	1.0470143E7
2.0	70373.0
3.0	82464.0
4.0	44988.0
5.0	30503.0
6.0	247838.0
7.0	134836.0
8.0	111548.0
9.0	50679.0
10.0	54560.0
11.0	118640.0
12.0	269371.0
13.0	33680.0
14.0	80661.0
15.0	170627.0
16.0	127041.0
17.0	212382.0
18.0	212800.0
19.0	60576.0
20.0	86049.0
21.0	347408.0
22.0	127803.0
23.0	366894.0
24.0	595022.0
25.0	193915.0
26.0	175854.0
27.0	173779.0
28.0	254463.0
29.0	205600.0
30.0	1197903.0
31.0	1019097.0
32.0	1179943.0
33.0	778162.0
34.0	1074404.0
35.0	900972.0
36.0	1057078.0
37.0	1074573.0
38.0	1407670.0
39.0	1440759.0
40.0	3102446.0
41.0	9488130.0
42.0	1.44727857E8
