#Duplication rate	Coverage
1.0	6288044.0
2.0	872413.0
3.0	139929.0
4.0	31915.0
5.0	10827.0
6.0	5043.0
7.0	2850.0
8.0	1940.0
9.0	1394.0
10.0	1126.0
11.0	953.0
12.0	714.0
13.0	623.0
14.0	509.0
15.0	478.0
16.0	415.0
17.0	342.0
18.0	323.0
19.0	301.0
20.0	264.0
21.0	246.0
22.0	232.0
23.0	205.0
24.0	197.0
25.0	182.0
26.0	168.0
27.0	176.0
28.0	145.0
29.0	139.0
30.0	133.0
31.0	122.0
32.0	111.0
33.0	111.0
34.0	101.0
35.0	104.0
36.0	96.0
37.0	75.0
38.0	79.0
39.0	78.0
40.0	66.0
41.0	61.0
42.0	68.0
43.0	56.0
44.0	71.0
45.0	60.0
46.0	69.0
47.0	53.0
48.0	51.0
49.0	53.0
50.0	2252.0
