#Mapping quality	mapping quality
0.0	180342.0
1.0	6774460.0
2.0	44736.0
3.0	52338.0
4.0	24547.0
5.0	17795.0
6.0	172535.0
7.0	93037.0
8.0	81003.0
9.0	29608.0
10.0	30636.0
11.0	86063.0
12.0	195294.0
13.0	19306.0
14.0	52235.0
15.0	112322.0
16.0	79387.0
17.0	156342.0
18.0	162095.0
19.0	34424.0
20.0	51019.0
21.0	250656.0
22.0	80449.0
23.0	307950.0
24.0	507521.0
25.0	123006.0
26.0	106421.0
27.0	100915.0
28.0	149132.0
29.0	123263.0
30.0	874051.0
31.0	752178.0
32.0	915658.0
33.0	535916.0
34.0	834444.0
35.0	633156.0
36.0	694059.0
37.0	662638.0
38.0	838886.0
39.0	731559.0
40.0	2163956.0
41.0	4865523.0
42.0	1.11690443E8
