#Duplication rate	Coverage
1.0	9742664.0
2.0	1795814.0
3.0	388790.0
4.0	112850.0
5.0	43399.0
6.0	20787.0
7.0	11865.0
8.0	7471.0
9.0	5227.0
10.0	3793.0
11.0	2838.0
12.0	2239.0
13.0	1806.0
14.0	1503.0
15.0	1173.0
16.0	1024.0
17.0	905.0
18.0	836.0
19.0	704.0
20.0	642.0
21.0	583.0
22.0	464.0
23.0	448.0
24.0	390.0
25.0	389.0
26.0	366.0
27.0	330.0
28.0	291.0
29.0	274.0
30.0	212.0
31.0	224.0
32.0	231.0
33.0	220.0
34.0	196.0
35.0	176.0
36.0	195.0
37.0	160.0
38.0	132.0
39.0	144.0
40.0	131.0
41.0	122.0
42.0	134.0
43.0	120.0
44.0	97.0
45.0	107.0
46.0	103.0
47.0	100.0
48.0	89.0
49.0	99.0
50.0	9228.0
