Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
337-10_S5_L001_R1_001	pass	0.0	warn	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	fail	3647370.0	pass	fail	pass	57.0	51.9146761587	337-10_S5_L001_R1_001.fastq	pass	pass
337-10_S5_L001_R2_001	pass	0.0	warn	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	fail	3647370.0	pass	fail	warn	57.0	51.700700192	337-10_S5_L001_R2_001.fastq	pass	pass
337-10_S5_L002_R1_001	pass	0.0	warn	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	fail	3530340.0	pass	fail	pass	57.0	52.14636391	337-10_S5_L002_R1_001.fastq	pass	pass
337-10_S5_L002_R2_001	pass	0.0	warn	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	fail	3530340.0	pass	fail	warn	57.0	51.9592610196	337-10_S5_L002_R2_001.fastq	pass	pass
337-10_S5_L003_R1_001	pass	0.0	warn	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	fail	3666337.0	pass	fail	pass	57.0	51.6330396759	337-10_S5_L003_R1_001.fastq	pass	pass
337-10_S5_L003_R2_001	pass	0.0	warn	40.0	Sanger / Illumina 1.9	fail	pass	pass	40.0	Conventional base calls	pass	fail	3666337.0	pass	fail	warn	57.0	51.2873541833	337-10_S5_L003_R2_001.fastq	pass	pass
337-10_S5_L004_R1_001	pass	0.0	warn	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	fail	3571283.0	pass	fail	pass	57.0	51.7037188609	337-10_S5_L004_R1_001.fastq	pass	pass
337-10_S5_L004_R2_001	pass	0.0	warn	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	fail	3571283.0	pass	fail	warn	57.0	51.5350622968	337-10_S5_L004_R2_001.fastq	pass	pass
337-11_S22_L001_R1_001	pass	0.0	fail	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	fail	3374538.0	pass	fail	warn	59.0	46.7034039499	337-11_S22_L001_R1_001.fastq	pass	pass
337-11_S22_L001_R2_001	pass	0.0	fail	40.0	Sanger / Illumina 1.9	warn	pass	pass	40.0	Conventional base calls	pass	fail	3374538.0	pass	fail	warn	58.0	47.2159986234	337-11_S22_L001_R2_001.fastq	pass	pass
