#Coverage	Number of genomic locations
0.0	2.449339861E9
1.0	1.40594489E8
2.0	6.0300427E7
3.0	3.1021294E7
4.0	1.6843076E7
5.0	9600529.0
6.0	5748012.0
7.0	3612025.0
8.0	2365568.0
9.0	1598342.0
10.0	1114900.0
11.0	799506.0
12.0	582090.0
13.0	431102.0
14.0	321921.0
15.0	244060.0
16.0	188024.0
17.0	145067.0
18.0	112969.0
19.0	88151.0
20.0	70074.0
21.0	55924.0
22.0	45479.0
23.0	36847.0
24.0	29965.0
25.0	24802.0
26.0	20830.0
27.0	17814.0
28.0	14859.0
29.0	12783.0
30.0	10946.0
31.0	9849.0
32.0	8906.0
33.0	7796.0
34.0	7111.0
35.0	6544.0
36.0	6341.0
37.0	6006.0
38.0	5639.0
39.0	5363.0
40.0	5067.0
41.0	4954.0
42.0	4643.0
43.0	4401.0
44.0	4105.0
45.0	4058.0
46.0	3959.0
47.0	3690.0
48.0	3442.0
49.0	3075.0
50.0	3079.0
51.0	2840.0
52.0	2808.0
53.0	2728.0
54.0	2574.0
55.0	2468.0
56.0	2205.0
57.0	1850.0
58.0	1806.0
59.0	1564.0
60.0	1270.0
61.0	1071.0
62.0	910.0
63.0	725.0
64.0	694.0
65.0	588.0
66.0	578.0
67.0	569.0
68.0	570.0
69.0	581.0
70.0	559.0
71.0	611.0
72.0	640.0
73.0	706.0
74.0	650.0
75.0	663.0
76.0	485.0
77.0	509.0
78.0	481.0
79.0	791.0
80.0	2263.0
81.0	900.0
82.0	216.0
83.0	25.0
84.0	7.0
