#Duplication rate	Coverage
1.0	1.0929558E7
2.0	1767589.0
3.0	342600.0
4.0	88606.0
5.0	29863.0
6.0	12618.0
7.0	6343.0
8.0	3730.0
9.0	2433.0
10.0	1759.0
11.0	1279.0
12.0	1121.0
13.0	842.0
14.0	762.0
15.0	667.0
16.0	605.0
17.0	537.0
18.0	494.0
19.0	474.0
20.0	389.0
21.0	392.0
22.0	388.0
23.0	341.0
24.0	303.0
25.0	299.0
26.0	275.0
27.0	270.0
28.0	253.0
29.0	218.0
30.0	218.0
31.0	196.0
32.0	185.0
33.0	187.0
34.0	184.0
35.0	166.0
36.0	175.0
37.0	149.0
38.0	146.0
39.0	125.0
40.0	128.0
41.0	135.0
42.0	135.0
43.0	111.0
44.0	130.0
45.0	100.0
46.0	99.0
47.0	97.0
48.0	102.0
49.0	107.0
50.0	4326.0
