#Duplication rate	Coverage
1.0	5252432.0
2.0	669788.0
3.0	97020.0
4.0	21488.0
5.0	7552.0
6.0	3528.0
7.0	2015.0
8.0	1316.0
9.0	940.0
10.0	734.0
11.0	542.0
12.0	407.0
13.0	374.0
14.0	316.0
15.0	241.0
16.0	212.0
17.0	189.0
18.0	194.0
19.0	147.0
20.0	130.0
21.0	120.0
22.0	119.0
23.0	93.0
24.0	94.0
25.0	87.0
26.0	76.0
27.0	54.0
28.0	58.0
29.0	68.0
30.0	58.0
31.0	41.0
32.0	49.0
33.0	52.0
34.0	42.0
35.0	44.0
36.0	25.0
37.0	39.0
38.0	50.0
39.0	34.0
40.0	35.0
41.0	29.0
42.0	26.0
43.0	39.0
44.0	28.0
45.0	24.0
46.0	26.0
47.0	26.0
48.0	24.0
49.0	28.0
50.0	6023.0
