#Duplication rate	Coverage
1.0	4689614.0
2.0	513661.0
3.0	61649.0
4.0	12508.0
5.0	4292.0
6.0	2280.0
7.0	1362.0
8.0	915.0
9.0	771.0
10.0	594.0
11.0	506.0
12.0	409.0
13.0	322.0
14.0	299.0
15.0	237.0
16.0	215.0
17.0	189.0
18.0	140.0
19.0	144.0
20.0	149.0
21.0	123.0
22.0	132.0
23.0	107.0
24.0	101.0
25.0	92.0
26.0	97.0
27.0	89.0
28.0	71.0
29.0	69.0
30.0	56.0
31.0	56.0
32.0	77.0
33.0	69.0
34.0	51.0
35.0	59.0
36.0	62.0
37.0	57.0
38.0	54.0
39.0	33.0
40.0	47.0
41.0	43.0
42.0	52.0
43.0	38.0
44.0	38.0
45.0	45.0
46.0	36.0
47.0	36.0
48.0	47.0
49.0	50.0
50.0	6324.0
