#Mapping quality	mapping quality
0.0	351882.0
1.0	1.7510989E7
2.0	89381.0
3.0	82007.0
4.0	36118.0
5.0	17926.0
6.0	450170.0
7.0	227846.0
8.0	117317.0
9.0	36587.0
10.0	37277.0
11.0	166536.0
12.0	445391.0
13.0	17861.0
14.0	64586.0
15.0	238686.0
16.0	170202.0
17.0	379684.0
18.0	348085.0
19.0	37535.0
20.0	54877.0
21.0	442409.0
22.0	124781.0
23.0	570916.0
24.0	907853.0
25.0	169402.0
26.0	134324.0
27.0	110881.0
28.0	145425.0
29.0	112262.0
30.0	2611705.0
31.0	2373470.0
32.0	2784929.0
33.0	574971.0
34.0	2994136.0
35.0	1762767.0
36.0	1085125.0
37.0	1000135.0
38.0	1151991.0
39.0	793670.0
40.0	2861635.0
41.0	4145280.0
42.0	1.97754853E8
