#Duplication rate	Coverage
1.0	8119531.0
2.0	1150751.0
3.0	190014.0
4.0	43730.0
5.0	14112.0
6.0	6188.0
7.0	3380.0
8.0	2143.0
9.0	1515.0
10.0	1142.0
11.0	901.0
12.0	722.0
13.0	638.0
14.0	481.0
15.0	441.0
16.0	368.0
17.0	350.0
18.0	303.0
19.0	276.0
20.0	236.0
21.0	225.0
22.0	207.0
23.0	186.0
24.0	164.0
25.0	147.0
26.0	118.0
27.0	115.0
28.0	111.0
29.0	104.0
30.0	78.0
31.0	99.0
32.0	86.0
33.0	66.0
34.0	66.0
35.0	64.0
36.0	60.0
37.0	38.0
38.0	53.0
39.0	40.0
40.0	38.0
41.0	49.0
42.0	33.0
43.0	50.0
44.0	39.0
45.0	47.0
46.0	41.0
47.0	27.0
48.0	37.0
49.0	28.0
50.0	1465.0
