#Duplication rate	Coverage
1.0	1.3103113E7
2.0	1866349.0
3.0	309346.0
4.0	73209.0
5.0	25695.0
6.0	12175.0
7.0	6992.0
8.0	4731.0
9.0	3454.0
10.0	2631.0
11.0	2068.0
12.0	1618.0
13.0	1357.0
14.0	1101.0
15.0	972.0
16.0	858.0
17.0	730.0
18.0	651.0
19.0	570.0
20.0	521.0
21.0	456.0
22.0	409.0
23.0	376.0
24.0	355.0
25.0	298.0
26.0	301.0
27.0	269.0
28.0	255.0
29.0	243.0
30.0	227.0
31.0	215.0
32.0	189.0
33.0	168.0
34.0	190.0
35.0	164.0
36.0	156.0
37.0	140.0
38.0	128.0
39.0	125.0
40.0	108.0
41.0	108.0
42.0	129.0
43.0	103.0
44.0	106.0
45.0	114.0
46.0	97.0
47.0	93.0
48.0	95.0
49.0	86.0
50.0	9106.0
