#Duplication rate	Coverage
1.0	1.9323861E7
2.0	2648619.0
3.0	472633.0
4.0	130875.0
5.0	50492.0
6.0	24688.0
7.0	14382.0
8.0	8937.0
9.0	6310.0
10.0	4567.0
11.0	3541.0
12.0	2944.0
13.0	2303.0
14.0	1912.0
15.0	1720.0
16.0	1392.0
17.0	1252.0
18.0	1063.0
19.0	952.0
20.0	853.0
21.0	751.0
22.0	687.0
23.0	670.0
24.0	596.0
25.0	560.0
26.0	556.0
27.0	523.0
28.0	439.0
29.0	407.0
30.0	432.0
31.0	388.0
32.0	378.0
33.0	335.0
34.0	329.0
35.0	306.0
36.0	301.0
37.0	290.0
38.0	303.0
39.0	291.0
40.0	262.0
41.0	252.0
42.0	191.0
43.0	209.0
44.0	210.0
45.0	237.0
46.0	191.0
47.0	185.0
48.0	205.0
49.0	163.0
50.0	15766.0
