#Coverage	Number of genomic locations
0.0	2.534589493E9
1.0	8.115635E7
2.0	3.8492797E7
3.0	2.3878178E7
4.0	1.524376E7
5.0	9883169.0
6.0	6514343.0
7.0	4371067.0
8.0	3007108.0
9.0	2105554.0
10.0	1508811.0
11.0	1094000.0
12.0	808649.0
13.0	603909.0
14.0	459625.0
15.0	353456.0
16.0	272795.0
17.0	213167.0
18.0	169546.0
19.0	135618.0
20.0	109100.0
21.0	89392.0
22.0	72145.0
23.0	59156.0
24.0	48340.0
25.0	40668.0
26.0	33929.0
27.0	29285.0
28.0	24894.0
29.0	20590.0
30.0	17328.0
31.0	15031.0
32.0	12853.0
33.0	11484.0
34.0	10052.0
35.0	8975.0
36.0	7845.0
37.0	7026.0
38.0	6079.0
39.0	5660.0
40.0	5552.0
41.0	4608.0
42.0	4258.0
43.0	3843.0
44.0	3517.0
45.0	3060.0
46.0	2636.0
47.0	2325.0
48.0	1974.0
49.0	1797.0
50.0	1408.0
51.0	1212.0
52.0	1045.0
53.0	847.0
54.0	648.0
55.0	540.0
56.0	421.0
57.0	319.0
58.0	307.0
59.0	259.0
60.0	255.0
61.0	246.0
62.0	204.0
63.0	217.0
64.0	181.0
65.0	180.0
66.0	156.0
67.0	147.0
68.0	159.0
69.0	106.0
70.0	111.0
71.0	123.0
72.0	95.0
73.0	105.0
74.0	111.0
75.0	148.0
76.0	185.0
77.0	264.0
78.0	496.0
79.0	839.0
80.0	1084.0
81.0	354.0
82.0	85.0
83.0	15.0
