#Duplication rate	Coverage
1.0	1.4423026E7
2.0	2196132.0
3.0	447995.0
4.0	137258.0
5.0	56328.0
6.0	27486.0
7.0	15574.0
8.0	9663.0
9.0	6361.0
10.0	4317.0
11.0	3244.0
12.0	2487.0
13.0	1895.0
14.0	1450.0
15.0	1273.0
16.0	1020.0
17.0	881.0
18.0	745.0
19.0	658.0
20.0	607.0
21.0	564.0
22.0	456.0
23.0	453.0
24.0	375.0
25.0	314.0
26.0	323.0
27.0	292.0
28.0	260.0
29.0	238.0
30.0	224.0
31.0	229.0
32.0	196.0
33.0	211.0
34.0	179.0
35.0	164.0
36.0	159.0
37.0	167.0
38.0	161.0
39.0	142.0
40.0	140.0
41.0	130.0
42.0	109.0
43.0	110.0
44.0	112.0
45.0	99.0
46.0	99.0
47.0	93.0
48.0	94.0
49.0	75.0
50.0	9100.0
