#Duplication rate	Coverage
1.0	1.0202833E7
2.0	1495558.0
3.0	271931.0
4.0	70525.0
5.0	24150.0
6.0	10523.0
7.0	5469.0
8.0	3256.0
9.0	2218.0
10.0	1585.0
11.0	1180.0
12.0	963.0
13.0	731.0
14.0	666.0
15.0	548.0
16.0	491.0
17.0	413.0
18.0	349.0
19.0	303.0
20.0	271.0
21.0	249.0
22.0	242.0
23.0	193.0
24.0	183.0
25.0	167.0
26.0	162.0
27.0	138.0
28.0	120.0
29.0	116.0
30.0	113.0
31.0	102.0
32.0	101.0
33.0	80.0
34.0	77.0
35.0	87.0
36.0	77.0
37.0	67.0
38.0	59.0
39.0	47.0
40.0	61.0
41.0	59.0
42.0	55.0
43.0	61.0
44.0	51.0
45.0	54.0
46.0	36.0
47.0	43.0
48.0	27.0
49.0	31.0
50.0	1495.0
