#Duplication rate	Coverage
1.0	6246788.0
2.0	772191.0
3.0	109226.0
4.0	23405.0
5.0	7597.0
6.0	3332.0
7.0	1873.0
8.0	1174.0
9.0	788.0
10.0	555.0
11.0	432.0
12.0	368.0
13.0	279.0
14.0	250.0
15.0	214.0
16.0	185.0
17.0	157.0
18.0	150.0
19.0	135.0
20.0	93.0
21.0	100.0
22.0	93.0
23.0	99.0
24.0	81.0
25.0	74.0
26.0	59.0
27.0	71.0
28.0	66.0
29.0	64.0
30.0	60.0
31.0	57.0
32.0	29.0
33.0	51.0
34.0	40.0
35.0	34.0
36.0	36.0
37.0	41.0
38.0	45.0
39.0	38.0
40.0	30.0
41.0	36.0
42.0	40.0
43.0	34.0
44.0	32.0
45.0	29.0
46.0	23.0
47.0	20.0
48.0	27.0
49.0	28.0
50.0	5888.0
