#Duplication rate	Coverage
1.0	4879385.0
2.0	681957.0
3.0	122422.0
4.0	35177.0
5.0	14125.0
6.0	7250.0
7.0	4285.0
8.0	2934.0
9.0	1983.0
10.0	1380.0
11.0	1082.0
12.0	793.0
13.0	638.0
14.0	549.0
15.0	412.0
16.0	394.0
17.0	323.0
18.0	271.0
19.0	245.0
20.0	213.0
21.0	205.0
22.0	175.0
23.0	140.0
24.0	142.0
25.0	152.0
26.0	113.0
27.0	116.0
28.0	112.0
29.0	82.0
30.0	88.0
31.0	85.0
32.0	70.0
33.0	88.0
34.0	69.0
35.0	59.0
36.0	53.0
37.0	52.0
38.0	67.0
39.0	43.0
40.0	37.0
41.0	55.0
42.0	42.0
43.0	41.0
44.0	40.0
45.0	32.0
46.0	30.0
47.0	39.0
48.0	29.0
49.0	30.0
50.0	6253.0
