#Duplication rate	Coverage
1.0	7367043.0
2.0	2130436.0
3.0	648248.0
4.0	218049.0
5.0	84654.0
6.0	38788.0
7.0	20091.0
8.0	11514.0
9.0	6965.0
10.0	4674.0
11.0	3262.0
12.0	2321.0
13.0	1601.0
14.0	1211.0
15.0	949.0
16.0	780.0
17.0	611.0
18.0	471.0
19.0	385.0
20.0	342.0
21.0	252.0
22.0	241.0
23.0	201.0
24.0	175.0
25.0	169.0
26.0	140.0
27.0	125.0
28.0	114.0
29.0	87.0
30.0	87.0
31.0	60.0
32.0	83.0
33.0	66.0
34.0	54.0
35.0	58.0
36.0	49.0
37.0	49.0
38.0	44.0
39.0	40.0
40.0	48.0
41.0	42.0
42.0	41.0
43.0	45.0
44.0	35.0
45.0	30.0
46.0	26.0
47.0	37.0
48.0	32.0
49.0	44.0
50.0	5778.0
