#Duplication rate	Coverage
1.0	1.3118285E7
2.0	2265391.0
3.0	534108.0
4.0	177602.0
5.0	75676.0
6.0	37763.0
7.0	20714.0
8.0	12377.0
9.0	7963.0
10.0	5154.0
11.0	3647.0
12.0	2595.0
13.0	1844.0
14.0	1380.0
15.0	1024.0
16.0	817.0
17.0	688.0
18.0	552.0
19.0	452.0
20.0	354.0
21.0	333.0
22.0	249.0
23.0	241.0
24.0	218.0
25.0	189.0
26.0	160.0
27.0	154.0
28.0	132.0
29.0	132.0
30.0	112.0
31.0	110.0
32.0	82.0
33.0	76.0
34.0	90.0
35.0	80.0
36.0	87.0
37.0	82.0
38.0	58.0
39.0	73.0
40.0	59.0
41.0	54.0
42.0	54.0
43.0	48.0
44.0	50.0
45.0	54.0
46.0	54.0
47.0	39.0
48.0	42.0
49.0	42.0
50.0	7408.0
