#Duplication rate	Coverage
1.0	1.5764262E7
2.0	3310593.0
3.0	926428.0
4.0	344094.0
5.0	157446.0
6.0	82164.0
7.0	47462.0
8.0	29381.0
9.0	19407.0
10.0	13322.0
11.0	9041.0
12.0	6720.0
13.0	5002.0
14.0	3564.0
15.0	2915.0
16.0	2250.0
17.0	1773.0
18.0	1415.0
19.0	1082.0
20.0	888.0
21.0	820.0
22.0	613.0
23.0	557.0
24.0	444.0
25.0	388.0
26.0	340.0
27.0	275.0
28.0	250.0
29.0	191.0
30.0	186.0
31.0	208.0
32.0	130.0
33.0	157.0
34.0	116.0
35.0	118.0
36.0	87.0
37.0	97.0
38.0	75.0
39.0	94.0
40.0	92.0
41.0	76.0
42.0	62.0
43.0	63.0
44.0	64.0
45.0	66.0
46.0	51.0
47.0	73.0
48.0	51.0
49.0	51.0
50.0	7006.0
