#Mapping quality	mapping quality
0.0	511719.0
1.0	2.1423958E7
2.0	152097.0
3.0	134316.0
4.0	76910.0
5.0	51745.0
6.0	487009.0
7.0	241846.0
8.0	156110.0
9.0	78835.0
10.0	82639.0
11.0	186353.0
12.0	433000.0
13.0	51748.0
14.0	109044.0
15.0	281951.0
16.0	208248.0
17.0	318964.0
18.0	305616.0
19.0	91177.0
20.0	129485.0
21.0	459124.0
22.0	179071.0
23.0	503611.0
24.0	785058.0
25.0	268776.0
26.0	247350.0
27.0	248787.0
28.0	349376.0
29.0	296702.0
30.0	2081901.0
31.0	1724050.0
32.0	1903179.0
33.0	963021.0
34.0	1890629.0
35.0	1405806.0
36.0	1425343.0
37.0	1495412.0
38.0	1958413.0
39.0	2238243.0
40.0	4792635.0
41.0	1.6224283E7
42.0	1.81724174E8
