#Duplication rate	Coverage
1.0	6976620.0
2.0	1054645.0
3.0	210791.0
4.0	63139.0
5.0	25357.0
6.0	12744.0
7.0	7056.0
8.0	4489.0
9.0	3025.0
10.0	2146.0
11.0	1549.0
12.0	1113.0
13.0	909.0
14.0	685.0
15.0	561.0
16.0	470.0
17.0	397.0
18.0	329.0
19.0	300.0
20.0	233.0
21.0	213.0
22.0	177.0
23.0	149.0
24.0	153.0
25.0	135.0
26.0	127.0
27.0	114.0
28.0	93.0
29.0	84.0
30.0	72.0
31.0	84.0
32.0	62.0
33.0	67.0
34.0	62.0
35.0	61.0
36.0	63.0
37.0	42.0
38.0	51.0
39.0	54.0
40.0	50.0
41.0	43.0
42.0	45.0
43.0	49.0
44.0	32.0
45.0	37.0
46.0	29.0
47.0	39.0
48.0	36.0
49.0	41.0
50.0	6388.0
