#Mapping quality	mapping quality
0.0	276349.0
1.0	1.0680982E7
2.0	76135.0
3.0	72733.0
4.0	38485.0
5.0	24270.0
6.0	264059.0
7.0	134878.0
8.0	98508.0
9.0	38555.0
10.0	43491.0
11.0	104847.0
12.0	258520.0
13.0	23545.0
14.0	58507.0
15.0	150530.0
16.0	106809.0
17.0	193416.0
18.0	189134.0
19.0	39344.0
20.0	61402.0
21.0	304689.0
22.0	97841.0
23.0	352002.0
24.0	574133.0
25.0	142394.0
26.0	124945.0
27.0	118820.0
28.0	178678.0
29.0	144177.0
30.0	1162973.0
31.0	984410.0
32.0	1162043.0
33.0	595533.0
34.0	1082971.0
35.0	809437.0
36.0	843725.0
37.0	833789.0
38.0	1064532.0
39.0	982099.0
40.0	2535309.0
41.0	6389833.0
42.0	1.29967995E8
