#Coverage	Number of genomic locations
0.0	2.49175151E9
1.0	1.4329083E8
2.0	3.4657799E7
3.0	1.8994536E7
4.0	1.1655863E7
5.0	7403055.0
6.0	4840185.0
7.0	3256510.0
8.0	2259320.0
9.0	1612385.0
10.0	1183196.0
11.0	889541.0
12.0	682030.0
13.0	532897.0
14.0	424236.0
15.0	340646.0
16.0	278578.0
17.0	229046.0
18.0	191860.0
19.0	160975.0
20.0	135119.0
21.0	113569.0
22.0	95236.0
23.0	80785.0
24.0	68603.0
25.0	57770.0
26.0	48665.0
27.0	40801.0
28.0	34066.0
29.0	28897.0
30.0	24622.0
31.0	21274.0
32.0	17904.0
33.0	15322.0
34.0	13369.0
35.0	11692.0
36.0	10470.0
37.0	9258.0
38.0	8029.0
39.0	7252.0
40.0	6673.0
41.0	5614.0
42.0	4911.0
43.0	4256.0
44.0	3672.0
45.0	3168.0
46.0	2844.0
47.0	2358.0
48.0	2247.0
49.0	2065.0
50.0	1675.0
51.0	1576.0
52.0	1324.0
53.0	1249.0
54.0	1112.0
55.0	1039.0
56.0	931.0
57.0	916.0
58.0	875.0
59.0	845.0
60.0	805.0
61.0	804.0
62.0	673.0
63.0	592.0
64.0	612.0
65.0	547.0
66.0	493.0
67.0	473.0
68.0	469.0
69.0	524.0
70.0	460.0
71.0	574.0
72.0	642.0
73.0	612.0
74.0	638.0
75.0	554.0
76.0	438.0
77.0	344.0
78.0	225.0
79.0	114.0
80.0	25.0
