#Duplication rate	Coverage
1.0	2.196371E7
2.0	3671296.0
3.0	747352.0
4.0	207148.0
5.0	74368.0
6.0	33697.0
7.0	17485.0
8.0	10217.0
9.0	6612.0
10.0	4478.0
11.0	3322.0
12.0	2425.0
13.0	1964.0
14.0	1517.0
15.0	1229.0
16.0	1044.0
17.0	847.0
18.0	746.0
19.0	704.0
20.0	564.0
21.0	555.0
22.0	463.0
23.0	430.0
24.0	404.0
25.0	356.0
26.0	321.0
27.0	284.0
28.0	283.0
29.0	220.0
30.0	228.0
31.0	222.0
32.0	177.0
33.0	171.0
34.0	170.0
35.0	171.0
36.0	169.0
37.0	140.0
38.0	115.0
39.0	123.0
40.0	98.0
41.0	90.0
42.0	107.0
43.0	91.0
44.0	94.0
45.0	85.0
46.0	106.0
47.0	89.0
48.0	76.0
49.0	59.0
50.0	8652.0
