#Duplication rate	Coverage
1.0	4648023.0
2.0	635745.0
3.0	112103.0
4.0	30573.0
5.0	11743.0
6.0	5837.0
7.0	3521.0
8.0	2199.0
9.0	1573.0
10.0	1202.0
11.0	969.0
12.0	805.0
13.0	621.0
14.0	586.0
15.0	450.0
16.0	462.0
17.0	407.0
18.0	345.0
19.0	299.0
20.0	277.0
21.0	283.0
22.0	220.0
23.0	224.0
24.0	187.0
25.0	185.0
26.0	200.0
27.0	184.0
28.0	164.0
29.0	158.0
30.0	140.0
31.0	133.0
32.0	132.0
33.0	119.0
34.0	99.0
35.0	90.0
36.0	96.0
37.0	104.0
38.0	97.0
39.0	75.0
40.0	64.0
41.0	63.0
42.0	87.0
43.0	63.0
44.0	64.0
45.0	71.0
46.0	72.0
47.0	55.0
48.0	48.0
49.0	48.0
50.0	2358.0
