#Duplication rate	Coverage
1.0	7907428.0
2.0	1102811.0
3.0	189017.0
4.0	47466.0
5.0	16550.0
6.0	7598.0
7.0	4181.0
8.0	2587.0
9.0	1799.0
10.0	1299.0
11.0	965.0
12.0	844.0
13.0	660.0
14.0	575.0
15.0	517.0
16.0	437.0
17.0	371.0
18.0	326.0
19.0	302.0
20.0	279.0
21.0	233.0
22.0	225.0
23.0	219.0
24.0	178.0
25.0	164.0
26.0	142.0
27.0	153.0
28.0	151.0
29.0	130.0
30.0	134.0
31.0	124.0
32.0	111.0
33.0	96.0
34.0	110.0
35.0	100.0
36.0	96.0
37.0	99.0
38.0	80.0
39.0	103.0
40.0	80.0
41.0	80.0
42.0	66.0
43.0	59.0
44.0	72.0
45.0	64.0
46.0	78.0
47.0	53.0
48.0	70.0
49.0	56.0
50.0	2701.0
