#Mapping quality	mapping quality
0.0	287465.0
1.0	1.0656998E7
2.0	71853.0
3.0	79363.0
4.0	43245.0
5.0	30899.0
6.0	269632.0
7.0	133978.0
8.0	109619.0
9.0	49180.0
10.0	58667.0
11.0	117864.0
12.0	248475.0
13.0	31881.0
14.0	78099.0
15.0	183370.0
16.0	132638.0
17.0	196104.0
18.0	194198.0
19.0	60014.0
20.0	89044.0
21.0	350177.0
22.0	117182.0
23.0	368933.0
24.0	589887.0
25.0	186232.0
26.0	166961.0
27.0	167598.0
28.0	250192.0
29.0	201293.0
30.0	1201317.0
31.0	1035909.0
32.0	1192960.0
33.0	788817.0
34.0	1065112.0
35.0	897178.0
36.0	1080280.0
37.0	1089730.0
38.0	1423338.0
39.0	1422463.0
40.0	2803943.0
41.0	7922218.0
42.0	1.52628029E8
