#Duplication rate	Coverage
1.0	1.0758117E7
2.0	1603618.0
3.0	298020.0
4.0	79586.0
5.0	27880.0
6.0	12254.0
7.0	6306.0
8.0	3706.0
9.0	2317.0
10.0	1558.0
11.0	1090.0
12.0	835.0
13.0	624.0
14.0	562.0
15.0	427.0
16.0	339.0
17.0	301.0
18.0	267.0
19.0	190.0
20.0	188.0
21.0	174.0
22.0	135.0
23.0	108.0
24.0	99.0
25.0	92.0
26.0	91.0
27.0	80.0
28.0	80.0
29.0	70.0
30.0	65.0
31.0	69.0
32.0	49.0
33.0	52.0
34.0	48.0
35.0	51.0
36.0	48.0
37.0	37.0
38.0	53.0
39.0	33.0
40.0	32.0
41.0	32.0
42.0	37.0
43.0	28.0
44.0	34.0
45.0	20.0
46.0	24.0
47.0	26.0
48.0	13.0
49.0	23.0
50.0	5610.0
