#Coverage	Number of genomic locations
0.0	2.54201018E9
1.0	7.8700505E7
2.0	3.6489859E7
3.0	2.2626817E7
4.0	1.4517158E7
5.0	9482318.0
6.0	6304765.0
7.0	4268375.0
8.0	2943391.0
9.0	2070277.0
10.0	1486717.0
11.0	1084344.0
12.0	801538.0
13.0	597128.0
14.0	452823.0
15.0	341807.0
16.0	260056.0
17.0	202117.0
18.0	157644.0
19.0	125223.0
20.0	100062.0
21.0	80828.0
22.0	66090.0
23.0	54659.0
24.0	45333.0
25.0	37628.0
26.0	31811.0
27.0	26451.0
28.0	22229.0
29.0	19191.0
30.0	16352.0
31.0	13981.0
32.0	11705.0
33.0	9942.0
34.0	8512.0
35.0	7030.0
36.0	6242.0
37.0	5395.0
38.0	4765.0
39.0	4007.0
40.0	3618.0
41.0	2864.0
42.0	2507.0
43.0	2316.0
44.0	2024.0
45.0	1817.0
46.0	1652.0
47.0	1463.0
48.0	1431.0
49.0	1461.0
50.0	1453.0
51.0	1426.0
52.0	1426.0
53.0	1456.0
54.0	1408.0
55.0	1293.0
56.0	1223.0
57.0	1217.0
58.0	1060.0
59.0	905.0
60.0	797.0
61.0	777.0
62.0	732.0
63.0	621.0
64.0	599.0
65.0	570.0
66.0	509.0
67.0	536.0
68.0	552.0
69.0	550.0
70.0	474.0
71.0	455.0
72.0	345.0
73.0	314.0
74.0	262.0
75.0	161.0
76.0	86.0
77.0	45.0
78.0	7.0
79.0	2.0
