#Mapping quality	mapping quality
0.0	243909.0
1.0	1.0478064E7
2.0	66617.0
3.0	79519.0
4.0	42155.0
5.0	27383.0
6.0	248784.0
7.0	135258.0
8.0	110755.0
9.0	46085.0
10.0	52713.0
11.0	117306.0
12.0	272644.0
13.0	29299.0
14.0	74292.0
15.0	177762.0
16.0	129354.0
17.0	213801.0
18.0	211372.0
19.0	52463.0
20.0	78913.0
21.0	364988.0
22.0	119684.0
23.0	363344.0
24.0	604981.0
25.0	183411.0
26.0	163740.0
27.0	162991.0
28.0	247089.0
29.0	189436.0
30.0	1190189.0
31.0	1026826.0
32.0	1191769.0
33.0	768871.0
34.0	1060165.0
35.0	886287.0
36.0	1057247.0
37.0	1048453.0
38.0	1366531.0
39.0	1272022.0
40.0	2712872.0
41.0	8279255.0
42.0	1.4637889E8
