#Duplication rate	Coverage
1.0	5964739.0
2.0	727079.0
3.0	102703.0
4.0	22328.0
5.0	7531.0
6.0	3718.0
7.0	2277.0
8.0	1487.0
9.0	1101.0
10.0	854.0
11.0	702.0
12.0	576.0
13.0	508.0
14.0	427.0
15.0	336.0
16.0	323.0
17.0	295.0
18.0	241.0
19.0	218.0
20.0	188.0
21.0	194.0
22.0	140.0
23.0	143.0
24.0	132.0
25.0	110.0
26.0	94.0
27.0	89.0
28.0	68.0
29.0	80.0
30.0	72.0
31.0	57.0
32.0	60.0
33.0	68.0
34.0	61.0
35.0	56.0
36.0	54.0
37.0	44.0
38.0	40.0
39.0	41.0
40.0	33.0
41.0	33.0
42.0	46.0
43.0	28.0
44.0	28.0
45.0	22.0
46.0	40.0
47.0	27.0
48.0	24.0
49.0	26.0
50.0	1477.0
