#Duplication rate	Coverage
1.0	2.5963721E7
2.0	4571310.0
3.0	1085353.0
4.0	361655.0
5.0	152924.0
6.0	76751.0
7.0	42795.0
8.0	26115.0
9.0	16969.0
10.0	11443.0
11.0	8158.0
12.0	5999.0
13.0	4441.0
14.0	3484.0
15.0	2816.0
16.0	2179.0
17.0	1865.0
18.0	1586.0
19.0	1370.0
20.0	1088.0
21.0	1012.0
22.0	871.0
23.0	803.0
24.0	687.0
25.0	635.0
26.0	595.0
27.0	517.0
28.0	488.0
29.0	433.0
30.0	391.0
31.0	399.0
32.0	376.0
33.0	336.0
34.0	303.0
35.0	331.0
36.0	297.0
37.0	310.0
38.0	269.0
39.0	271.0
40.0	272.0
41.0	227.0
42.0	219.0
43.0	235.0
44.0	197.0
45.0	233.0
46.0	211.0
47.0	183.0
48.0	190.0
49.0	186.0
50.0	14955.0
