#Coverage	Number of genomic locations
0.0	2.260508636E9
1.0	2.22129873E8
2.0	7.6878719E7
3.0	4.2736341E7
4.0	2.8429895E7
5.0	2.0076931E7
6.0	1.4640239E7
7.0	1.0947644E7
8.0	8350209.0
9.0	6492497.0
10.0	5129919.0
11.0	4110748.0
12.0	3329402.0
13.0	2732542.0
14.0	2266923.0
15.0	1900431.0
16.0	1603527.0
17.0	1364278.0
18.0	1167861.0
19.0	1012575.0
20.0	880848.0
21.0	773033.0
22.0	677226.0
23.0	600001.0
24.0	530025.0
25.0	471139.0
26.0	424052.0
27.0	381732.0
28.0	342192.0
29.0	309962.0
30.0	279928.0
31.0	253716.0
32.0	232157.0
33.0	212200.0
34.0	195356.0
35.0	178681.0
36.0	163408.0
37.0	151804.0
38.0	139120.0
39.0	128583.0
40.0	118477.0
41.0	109977.0
42.0	102617.0
43.0	94880.0
44.0	88285.0
45.0	82545.0
46.0	77514.0
47.0	73636.0
48.0	68522.0
49.0	64115.0
50.0	60728.0
51.0	57853.0
52.0	54618.0
53.0	50949.0
54.0	47844.0
55.0	45802.0
56.0	43454.0
57.0	41429.0
58.0	38962.0
59.0	36999.0
60.0	35198.0
61.0	33607.0
62.0	32068.0
63.0	30399.0
64.0	29366.0
65.0	27858.0
66.0	26426.0
67.0	25140.0
68.0	24577.0
69.0	23455.0
70.0	22346.0
71.0	21463.0
72.0	20784.0
73.0	20153.0
74.0	19256.0
75.0	18739.0
76.0	17725.0
77.0	16978.0
78.0	16747.0
79.0	16228.0
80.0	15367.0
81.0	14764.0
82.0	14733.0
83.0	14043.0
84.0	13468.0
85.0	12803.0
86.0	12449.0
87.0	11698.0
88.0	11470.0
89.0	11107.0
90.0	10731.0
91.0	10575.0
92.0	10047.0
93.0	9766.0
94.0	9597.0
95.0	9277.0
96.0	8914.0
97.0	8515.0
98.0	8419.0
99.0	8005.0
100.0	7772.0
101.0	7479.0
102.0	7192.0
103.0	6929.0
104.0	6583.0
105.0	6670.0
106.0	6329.0
107.0	6096.0
108.0	5882.0
109.0	5609.0
110.0	5626.0
111.0	5326.0
112.0	5351.0
113.0	5268.0
114.0	4998.0
115.0	4848.0
116.0	4871.0
117.0	4364.0
118.0	4537.0
119.0	4303.0
120.0	4244.0
121.0	4123.0
122.0	4036.0
123.0	3915.0
124.0	3880.0
125.0	3732.0
126.0	3657.0
127.0	3374.0
128.0	3303.0
129.0	3317.0
130.0	3186.0
131.0	3115.0
132.0	3013.0
133.0	3058.0
134.0	3018.0
135.0	2915.0
136.0	2705.0
137.0	2712.0
138.0	2663.0
139.0	2535.0
140.0	2346.0
141.0	2414.0
142.0	2271.0
143.0	2261.0
144.0	2142.0
145.0	2051.0
