#Mapping quality	mapping quality
0.0	927938.0
1.0	3.5172939E7
2.0	231099.0
3.0	241521.0
4.0	127003.0
5.0	79683.0
6.0	786979.0
7.0	384187.0
8.0	272434.0
9.0	128964.0
10.0	145328.0
11.0	337159.0
12.0	692265.0
13.0	81843.0
14.0	199230.0
15.0	535616.0
16.0	415668.0
17.0	568917.0
18.0	549918.0
19.0	144688.0
20.0	215353.0
21.0	968677.0
22.0	315148.0
23.0	999301.0
24.0	1543572.0
25.0	450116.0
26.0	404733.0
27.0	401773.0
28.0	603923.0
29.0	477189.0
30.0	3946092.0
31.0	3497135.0
32.0	3864095.0
33.0	1745490.0
34.0	3841801.0
35.0	2798340.0
36.0	2636987.0
37.0	2658866.0
38.0	3450363.0
39.0	3644372.0
40.0	7730492.0
41.0	2.1996325E7
42.0	3.54815511E8
