#Duplication rate	Coverage
1.0	1.1256661E7
2.0	1779636.0
3.0	364805.0
4.0	108196.0
5.0	42400.0
6.0	20461.0
7.0	11263.0
8.0	7196.0
9.0	4780.0
10.0	3467.0
11.0	2550.0
12.0	2024.0
13.0	1511.0
14.0	1236.0
15.0	996.0
16.0	894.0
17.0	732.0
18.0	655.0
19.0	586.0
20.0	470.0
21.0	434.0
22.0	355.0
23.0	336.0
24.0	298.0
25.0	249.0
26.0	258.0
27.0	215.0
28.0	231.0
29.0	211.0
30.0	158.0
31.0	171.0
32.0	134.0
33.0	114.0
34.0	116.0
35.0	122.0
36.0	115.0
37.0	104.0
38.0	106.0
39.0	86.0
40.0	98.0
41.0	107.0
42.0	86.0
43.0	79.0
44.0	81.0
45.0	62.0
46.0	64.0
47.0	68.0
48.0	64.0
49.0	61.0
50.0	7718.0
